Fichier - WelzlTime - NaifTime
samples/test-134.points - 288425 - 93559882
samples/test-484.points - 97966 - 93586649
samples/test-1476.points - 255230 - 95335382
samples/test-981.points - 224066 - 91421039
samples/test-1593.points - 484361 - 83078604
samples/test-1408.points - 240768 - 108282129
samples/test-1632.points - 222238 - 105597457
samples/test-1358.points - 297910 - 113005381
samples/test-889.points - 238629 - 102484127
samples/test-542.points - 257480 - 109923673
samples/test-1506.points - 371174 - 108013336
samples/test-209.points - 414106 - 102734957
samples/test-1231.points - 406095 - 89573271
samples/test-699.points - 284311 - 80875371
samples/test-1310.points - 512562 - 92058544
samples/test-964.points - 154103 - 89408561
samples/test-1180.points - 286696 - 84120838
samples/test-169.points - 278037 - 107483042
samples/test-1057.points - 430782 - 111525019
samples/test-1013.points - 221585 - 98048041
samples/test-1058.points - 298979 - 98536519
samples/test-839.points - 322098 - 115760308
samples/test-431.points - 431950 - 104134090
samples/test-1603.points - 233875 - 107177313
samples/test-364.points - 331821 - 84708021
samples/test-36.points - 433094 - 112345873
samples/test-388.points - 234923 - 89246710
samples/test-1342.points - 164970 - 91117949
samples/test-1192.points - 150514 - 92821523
samples/test-1465.points - 314850 - 93208139
samples/test-1618.points - 200161 - 102747051
samples/test-213.points - 214613 - 91598923
samples/test-1001.points - 802440 - 104370042
samples/test-1438.points - 194005 - 85456883
samples/test-1326.points - 666448 - 100637499
samples/test-248.points - 387905 - 91351061
samples/test-334.points - 364214 - 117560588
samples/test-687.points - 484720 - 97826260
samples/test-790.points - 197171 - 88071640
samples/test-1431.points - 191107 - 80358302
samples/test-287.points - 473630 - 87512081
samples/test-993.points - 231774 - 111776469
samples/test-1481.points - 638242 - 84932206
samples/test-1012.points - 288585 - 104136707
samples/test-514.points - 376973 - 91092611
samples/test-560.points - 344140 - 97510618
samples/test-67.points - 368578 - 101035850
samples/test-1452.points - 366233 - 81050787
samples/test-1352.points - 304395 - 82397416
samples/test-631.points - 648941 - 83222799
samples/test-717.points - 774810 - 82683887
samples/test-774.points - 137231 - 103881066
samples/test-567.points - 369455 - 102859341
samples/test-1107.points - 246510 - 102694202
samples/test-442.points - 451541 - 96367792
samples/test-824.points - 268074 - 88566737
samples/test-227.points - 222974 - 106182268
samples/test-1234.points - 269166 - 88993052
samples/test-370.points - 285422 - 87400768
samples/test-986.points - 422091 - 101313181
samples/test-353.points - 352571 - 95524361
samples/test-1522.points - 237094 - 124352227
samples/test-1039.points - 284190 - 101188057
samples/test-428.points - 351794 - 81151449
samples/test-1344.points - 384714 - 82546680
samples/test-622.points - 551062 - 90639112
samples/test-946.points - 470981 - 79885475
samples/test-545.points - 304277 - 100672584
samples/test-1240.points - 616183 - 118220937
samples/test-1272.points - 413917 - 97339780
samples/test-85.points - 319074 - 97589053
samples/test-658.points - 375604 - 99092359
samples/test-1519.points - 407037 - 97800783
samples/test-111.points - 275737 - 95287010
samples/test-304.points - 339772 - 93037203
samples/test-136.points - 343035 - 108809333
samples/test-1379.points - 532697 - 110753855
samples/test-701.points - 496060 - 107904216
samples/test-1267.points - 297105 - 114610659
samples/test-1499.points - 226427 - 95547769
samples/test-1611.points - 171905 - 89386516
samples/test-958.points - 111204 - 103542464
samples/test-324.points - 199844 - 100134756
samples/test-737.points - 447442 - 87616668
samples/test-1283.points - 275367 - 89552414
samples/test-978.points - 230219 - 106688820
samples/test-553.points - 268783 - 93329054
samples/test-602.points - 407946 - 118195148
samples/test-502.points - 497100 - 80026252
samples/test-1591.points - 225004 - 98575029
samples/test-177.points - 610441 - 81616281
samples/test-1233.points - 311010 - 109848637
samples/test-674.points - 240907 - 95227418
samples/test-466.points - 248332 - 101236302
samples/test-203.points - 308363 - 102711693
samples/test-1662.points - 2424833 - 90823664
samples/test-599.points - 478093 - 110072826
samples/test-1462.points - 388542 - 136369231
samples/test-1658.points - 408555 - 94143261
samples/test-115.points - 553099 - 102474433
samples/test-1003.points - 491108 - 81000888
samples/test-1398.points - 367453 - 85057016
samples/test-879.points - 596282 - 104318456
samples/test-416.points - 240406 - 99915994
samples/test-1325.points - 333777 - 20680
samples/test-1552.points - 357365 - 97550239
samples/test-1385.points - 333636 - 92017325
samples/test-180.points - 298638 - 81797888
samples/test-373.points - 156361 - 108286444
samples/test-94.points - 743757 - 82000343
samples/test-1037.points - 688980 - 89034533
samples/test-1080.points - 219627 - 87095253
samples/test-814.points - 256740 - 99114546
samples/test-1457.points - 194588 - 97083213
samples/test-1486.points - 519484 - 102641364
