WelzlTime - NaifTime
353 - 93522
242 - 96736
303 - 117459
350 - 85946
482 - 93896
284 - 98246
261 - 96387
396 - 124995
492 - 88838
302 - 97792
160 - 92176
213 - 101895
260 - 98799
280 - 86156
437 - 90706
298 - 84105
632 - 107322
341 - 110396
459 - 100866
749 - 104881
350 - 98206
384 - 91816
244 - 108197
113 - 106973
155 - 81
258 - 106619
229 - 94031
401 - 90224
284 - 82428
239 - 94595
242 - 91545
252 - 94155
299 - 101070
147 - 102274
369 - 81730
363 - 83787
355 - 102048
180 - 92707
277 - 89313
154 - 109499
543 - 92712
485 - 115016
262 - 96188
233 - 98128
450 - 83473
2647 - 99264
388 - 93796
239 - 89631
407 - 107091
264 - 128288
186 - 108439
1514 - 99322
1467 - 97646
319 - 91534
587 - 100277
641 - 91437
222 - 114493
188 - 82318
294 - 82892
379 - 78004
223 - 79479
323 - 96637
257 - 101042
853 - 93662
364 - 79950
440 - 101042
204 - 113519
793 - 82386
558 - 94506
134 - 79474
190 - 93671
252 - 39
391 - 84962
183 - 85948
601 - 107487
689 - 86107
804 - 93356
225 - 96745
459 - 86061
375 - 85134
438 - 117315
491 - 108106
715 - 112570
331 - 98392
747 - 86434
580 - 97647
226 - 102042
415 - 95006
862 - 126485
485 - 119102
391 - 87234
751 - 107645
507 - 100085
557 - 108588
340 - 94768
200 - 108219
262 - 92086
137 - 95934
334 - 83618
390 - 99027
395 - 104772
562 - 101167
179 - 92113
328 - 102245
410 - 108555
245 - 110964
453 - 100913
999 - 117720
429 - 100613
213 - 106373
337 - 102310
498 - 106258
314 - 83671
412 - 91186
603 - 89610
363 - 150
356 - 94346
526 - 91704
186 - 96751
307 - 96842
320 - 85436
365 - 89078
431 - 108292
560 - 107689
288 - 95052
313 - 102441
271 - 110668
307 - 92132
412 - 119063
340 - 95194
320 - 101654
198 - 111374
552 - 103646
317 - 98089
195 - 106648
427 - 93189
431 - 89093
301 - 102319
610 - 102142
475 - 95609
184 - 98570
266 - 96390
340 - 94019
452 - 99931
492 - 128646
273 - 93321
342 - 82277
223 - 99876
323 - 107160
211 - 100474
697 - 105683
356 - 114551
181 - 98676
557 - 92778
364 - 90703
365 - 95002
360 - 83114
472 - 104228
245 - 90379
361 - 97647
279 - 108581
96 - 88534
507 - 88824
389 - 98935
277 - 87438
723 - 111279
